Assembly Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path,Forward,,,,Backward,,,,Spiral,,,,Random,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,,,,,,,,,,,,,,,,,,,,,,,,
1-2-5,0.083,0.516,1.069,1%,0.080,0.528,1.122,1%,0.070,0.505,1.057,1%,0.080,0.510,1.032,1%,,,,,,,,,,,,,,,,,,,,,,,,
1-3-5,-0.032,0.301,0.327,100%,-0.033,0.341,0.382,100%,0.025,0.375,0.438,100%,0.049,0.352,0.475,100%,,,,,,,,,,,,,,,,,,,,,,,,
1-4-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1-2-6,-0.002,0.203,0.206,100%,-0.008,0.187,0.198,100%,-0.031,0.212,0.198,100%,0.002,0.182,0.198,100%,,,,,,,,,,,,,,,,,,,,,,,,
1-3-6,-0.006,0.207,0.192,39%,-0.011,0.192,0.194,45%,-0.003,0.201,0.192,40%,-0.004,0.212,0.193,39%,,,,,,,,,,,,,,,,,,,,,,,,
1-4-6,-0.025,0.229,0.196,100%,-0.013,0.188,0.192,100%,-0.013,0.201,0.200,100%,-0.020,0.191,0.194,100%,,,,,,,,,,,,,,,,,,,,,,,,
1-2-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
1-3-7,-0.028,0.332,0.260,100%,-0.001,0.216,0.220,100%,-0.042,0.292,0.247,100%,-0.003,0.205,0.216,100%,,,,,,,,,,,,,,,,,,,,,,,,
1-4-7,-0.233,0.637,0.967,1%,-0.239,0.628,0.964,1%,-0.235,0.630,0.966,2%,-0.280,0.668,1.112,2%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path,Increasing,,,,Equal,,,,Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-5,0.073,0.482,0.865,1%,0.074,0.511,1.027,1%,0.088,0.546,1.297,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-5,0.008,0.388,0.500,100%,0.010,0.312,0.328,100%,-0.025,0.241,0.267,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-6,-0.011,0.201,0.202,100%,0.007,0.191,0.201,100%,-0.026,0.193,0.196,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-6,-0.006,0.208,0.200,44%,0.000,0.204,0.193,41%,-0.013,0.197,0.187,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-6,-0.026,0.213,0.199,100%,-0.010,0.193,0.194,100%,-0.009,0.194,0.190,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-7,-0.031,0.270,0.238,100%,-0.007,0.301,0.248,100%,-0.008,0.208,0.217,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-7,-0.181,0.543,0.708,3%,-0.269,0.674,1.102,1%,-0.289,0.695,1.191,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routing Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path,Information,,,,Theta Cutscore,,,,Number Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,Bias,RMSE,SEM,% Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-5,0.072,0.494,1.201,1%,0.091,0.493,1.243,1%,0.072,0.556,0.762,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-5,-0.017,0.329,0.484,100%,-0.019,0.302,0.398,100%,0.026,0.371,0.364,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-6,-0.012,0.202,0.195,100%,-0.012,0.177,0.194,100%,0.003,0.226,0.232,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-6,-0.007,0.196,0.180,39%,-0.005,0.192,0.179,43%,-0.007,0.226,0.231,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-6,-0.027,0.206,0.189,100%,0.005,0.185,0.189,100%,-0.081,0.258,0.250,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-2-7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-7,0.001,0.205,0.196,100%,-0.016,0.188,0.193,100%,-0.032,0.336,0.290,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-4-7,-0.175,0.503,0.637,1%,-0.160,0.492,0.619,1%,-0.394,0.846,1.699,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
