,,Forward,,,,Backward,,Spiral,,Random,
Routing Method,Number of Items, 1-3-3,,, 1-3-4, 1-3-3, 1-3-4, 1-3-3, 1-3-4, 1-3-3, 1-3-4
,,0,1,2,,,,,,,
Information,increasing,1076(0.83),154(0.12),70(0.05),974(0.75) 216(0.17) 110(0.08),1080(0.83) 150(0.12) 70(0.05),996(0.77) 204(0.16) 100(0.08),1096(0.84) 143(0.11) 61(0.05),969(0.75) 196(0.15) 135(0.1),1078(0.83) 136(0.1) 86(0.07),993(0.76) 190(0.15) 117(0.09)
Information,equal,1120(0.86) ,102(0.08) ,78(0.06),1025(0.79) 220(0.17) 55(0.04),1117(0.86) 107(0.08) 76(0.06),1037(0.8) 216(0.17) 47(0.04),1123(0.86) 109(0.08) 68(0.05),1040(0.8) 218(0.17) 42(0.03),1129(0.87) 99(0.08) 72(0.06),1059(0.81) 229(0.18) 12(0.01)
Information,decreasing,1173(0.9) ,69(0.05),58(0.04),1055(0.81) 232(0.18) 13(0.01),1165(0.9) 62(0.05) 73(0.06),1046(0.8) 231(0.18) 23(0.02),1154(0.89) 73(0.06) 73(0.06),1044(0.8) 237(0.18) 19(0.01),1194(0.92) 56(0.04) 50(0.04),1051(0.81) 241(0.19) 8(0.01)
Theta,increasing,1076(0.83) ,154(0.12),70(0.05),1048(0.81) 175(0.13) 77(0.06),1061(0.82) 171(0.13) 68(0.05),1052(0.81) 140(0.11) 108(0.08),1080(0.83) 141(0.11) 79(0.06),1036(0.8) 129(0.1) 135(0.1),1082(0.83) 149(0.11) 69(0.05),1067(0.82) 160(0.12) 73(0.06)
Theta,equal,1162(0.89) ,83(0.06),55(0.04),1104(0.85) 173(0.13) 23(0.02),1138(0.88) 87(0.07) 75(0.06),1087(0.84) 133(0.1) 80(0.06),1156(0.89) 73(0.06) 71(0.05),1099(0.85) 138(0.11) 63(0.05),1153(0.89) 75(0.06) 72(0.06),1114(0.86) 161(0.12) 25(0.02)
Theta,decreasing,1185(0.91) ,64(0.05),51(0.04),1118(0.86) 143(0.11) 39(0.03),1186(0.91) 54(0.04) 60(0.05),1123(0.86) 132(0.1) 45(0.03),1173(0.9) 69(0.05) 58(0.04),1105(0.85) 158(0.12) 37(0.03),1179(0.91) 75(0.06) 46(0.04),1122(0.86) 167(0.13) 11(0.01)
NC,increasing,1052(0.81) ,165(0.13),83(0.06),1101(0.85) 34(0.03) 165(0.13),1056(0.81) 157(0.12) 87(0.07),1086(0.84) 7(0.01) 207(0.16),1072(0.82) 134(0.1) 94(0.07),1072(0.82) 33(0.03) 195(0.15),1066(0.82) 157(0.12) 77(0.06),1096(0.84) 25(0.02) 179(0.14)
NC,equal,1142(0.88) ,99(0.08),59(0.05),1127(0.87) 40(0.03) 133(0.1),1145(0.88) 92(0.07) 63(0.05),1155(0.89) 30(0.02) 115(0.09),1148(0.88) 102(0.08) 50(0.04),1143(0.88) 36(0.03) 121(0.09),1132(0.87) 121(0.09) 47(0.04),1136(0.87) 29(0.02) 135(0.1)
NC,decreasing,1182(0.91) ,75(0.06),43(0.03),1157(0.89) 40(0.03) 103(0.08),1175(0.9) 72(0.06) 53(0.04),1158(0.89) 35(0.03) 107(0.08),1187(0.91) 74(0.06) 39(0.03),1149(0.88) 46(0.04) 105(0.08),1180(0.91) 79(0.06) 41(0.03),1167(0.9) 32(0.02) 101(0.08)
